time, occupancy 
Thu Apr 20 13:04:16 2023, 0
Thu Apr 20 13:04:17 2023, 0
Thu Apr 20 13:04:19 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:20 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:21 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:22 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:23 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
Thu Apr 20 13:04:24 2023, 0
