Time,Occupancy
2023-04-05 08:56:35
, 13
2023-04-05 08:57:42
, 10
2023-04-05 08:58:49
, 10
2023-04-05 08:59:55
, 10
2023-04-05 09:01:02
, 13
2023-04-05 ,09:02:09
4
, 14
2023-04-05 09:03:16
, 11
2023-04-05 09:04:22
, 10
2023-04-05 09:05:29
, 8
2023-04-05 09:06:36
, 10
2023-04-05 09:07:43
, 8
2023-04-05 09:08:49
, 9
2023-04-05 09:09:56
, 7
2023-04-05 09:11:03
, 10
2023-04-05 09:12:10
, 11
2023-04-05 09:13:17
, 11
2023-04-05 09:14:23
, 14
2023-04-05 09:15:30
, 11
2023-04-05 09:16:37
, 10
2023-04-05 09:17:44
, 12
2023-04-05 09:18:50
, 11
2023-04-05 09:19:57
, 11
2023-04-05 09:21:04
, 14
2023-04-05 09:22:11
, 14
2023-04-05 09:23:17
, 9
2023-04-05 09:24:24
, 9
2023-04-05 09:25:31
, 13
2023-04-05 09:26:38
, 11
2023-04-05 09:27:44
, 12
2023-04-05 09:28:51
, 14
2023-04-05 09:29:58
, 8
2023-04-05 09:31:05
, 9
2023-04-05 09:32:11
, 8
2023-04-05 09:33:18
, 8
2023-04-05 09:34:25
, 12
2023-04-05 09:35:32
, 11
2023-04-05 09:36:38
, 14
2023-04-05 09:37:45
, 13
2023-04-05 09:38:52
, 13
2023-04-05 09:39:59
, 16
2023-04-05 09:41:05
, 11
2023-04-05 09:42:12
, 13
2023-04-05 09:43:19
, 12
2023-04-05 09:44:26
, 13
2023-04-05 09:45:32
, 12
2023-04-05 09:46:39
, 11
2023-04-05 09:47:46
, 13
2023-04-05 09:48:53
, 14
2023-04-05 09:49:59
, 12
2023-04-05 09:51:06
, 16
2023-04-05 09:52:13
, 9
2023-04-05 09:53:19
, 8
2023-04-05 09:54:26
, 13
2023-04-05 09:55:33
, 15
2023-04-05 09:56:40
, 13
2023-04-05 09:57:46
, 13
2023-04-05 09:58:53
, 8
2023-04-05 10:00:00
, 13
2023-04-05 10:01:07
, 11
2023-04-05 10:02:13
, 10
2023-04-05 10:03:20
, 14
